,index_jjj,index_spotify,year_x,title,artist,duration,country,position of year,name,artists,year_y,release_date,duration_ms,valence,danceability,speechiness
100,163,165316,1994,A Conspiracy,The Black Crowes,4:47,USA,64,A Conspiracy,['The Black Crowes'],1994,1994-01-01,284507,0.662,0.395,0.0505
101,164,69864,1994,Bull In The Heather,Sonic Youth,3:05,USA,65,Bull In The Heather,['Sonic Youth'],1994,1994-01-01,184867,0.423,0.642,0.0378
102,167,14485,1994,Feel The Pain,Dinosaur Jr.,4:19,USA,68,Feel the Pain,['Dinosaur Jr.'],1994,1994-08-23,259600,0.8540000000000001,0.34,0.0516
103,168,14580,1994,Mmm Mmm Mmm Mmm,Crash Test Dummies,3:55,Canada,69,Mmm Mmm Mmm Mmm,['Crash Test Dummies'],1994,1994-03-28,235173,0.37,0.58,0.0231
104,169,33422,1994,"What's The Frequency, Kenneth?",R.E.M.,4:00,USA,70,"What's The Frequency, Kenneth?",['R.E.M.'],1994,1994-09-27,240400,0.742,0.4,0.0306
105,177,14278,1994,Low,Cracker,4:36,USA,78,Low,['Cracker'],1993,1993,276132,0.47100000000000003,0.32899999999999996,0.0283
106,179,14462,1994,No Excuses,Alice In Chains,4:16,USA,80,No Excuses,['Alice In Chains'],1994,1994,255573,0.721,0.527,0.0323
107,180,43547,1994,In The Neighbourhood,Sisters Underground,3:35,New Zealand,81,In The Garden,"['Sister Rosetta Tharpe', 'The Rosettes']",1951,1951-10-13,186717,0.314,0.34,0.0515
108,182,119731,1994,Am I Wrong?,Love Spit Love,3:35,USA,83,Am I Wrong,['Love Spit Love'],1994,1994,214173,0.536,0.441,0.0315
109,183,86937,1994,Saints,The Breeders,2:32,USA,84,Saints,['The Breeders'],1993,1993-08-30,152200,0.8240000000000001,0.49,0.0324
110,184,86999,1994,Blues Music,G. Love & Special Sauce,4:17,USA,85,Blues Music,['G. Love & Special Sauce'],1994,1994-05-10,255427,0.7,0.7829999999999999,0.175
111,186,70008,1994,"The More You Ignore Me, The   Closer I Get",Morrissey,3:44,England,87,"The More You Ignore Me, the Closer I Get - 2014 Remaster",['Morrissey'],1994,1994,223693,0.794,0.41,0.0274
112,188,14417,1994,Regulate (feat. Nate Dogg),Warren G,4:09,USA,89,Regulate,"['Warren G', 'Nate Dogg']",1994,1994-06-07,248867,0.763,0.8490000000000001,0.21600000000000005
113,190,14260,1994,Round Here,Counting Crows,5:32,USA,91,Round Here,['Counting Crows'],1993,1993-01-01,331400,0.18600000000000005,0.314,0.0341
114,191,14426,1994,Shine,Collective Soul,5:08,USA,92,Shine,['Collective Soul'],1994,1994-03-22,306040,0.353,0.54,0.0283
115,195,34595,1994,Girls & Boys (Pet Shop   Boys Radio Edit),Blur,4:06,England,96,Girls and Boys,['Blur'],2000,2000-10-23,259387,0.9009999999999999,0.693,0.0315
116,196,14504,1994,Here Comes The Hotstepper,Ini Kamoze,4:11,Jamaica,97,Here Comes The Hotstepper - Heartical Mix,"['Ini Kamoze', 'Salaam Remi']",1994,1994,250427,0.435,0.888,0.205
117,199,14519,1994,Stay (I Missed You),Lisa Loeb & Nine Stories,3:03,USA,100,Stay (I Missed You),['Lisa Loeb'],1994,1994-05-17,184333,0.349,0.612,0.051
118,200,14606,1995,Wonderwall,Oasis,4:19,England,1,Wonderwall,['Oasis'],1995,1995-10-02,258907,0.456,0.41,0.0366
119,201,14613,1995,Bullet With Butterfly Wings,The Smashing Pumpkins,4:19,USA,2,Bullet With Butterfly Wings - Remastered 2012,['The Smashing Pumpkins'],1995,1995,258467,0.475,0.40399999999999997,0.0623
